                 Player  G  PA  AB  R  H  2B  3B  HR  TB  RBI  SB  CS  SH  SF  SO  BB  IBB  HP  GDP    AVG    OBP    SLG    OPS  OPS+    ISO  BABIP    TTO%      K%     BB%  BB/K   wSB                Team League
71          Togo Shosei  1   1   1  0  1   0   0   0   1    1   0   0   0   0   0   0    0   0    0  1.000  1.000  1.000  2.000   543  0.000  1.000    0.0%    0.0%    0.0%         0.0      Yomiuri Giants     CL
72         Saiki Hiroto  1   1   1  0  0   0   0   0   0    0   0   0   0   0   1   0    0   0    0  0.000  0.000  0.000  0.000  -104  0.000         100.0%  100.0%    0.0%  0.00   0.0      Hanshin Tigers     CL
73      Sugimoto Yutaro  2   8   5  1  2   0   0   1   5    1   0   0   0   0   2   2    0   1    0  0.400  0.625  1.000  1.625   407  0.600  0.500   62.5%   25.0%   25.0%  1.00   0.0      ORIX Buffaloes     PL
74         Matsuo Shion  3   3   3  0  1   0   0   0   1    0   0   0   0   0   0   0    0   0    0  0.333  0.333  0.333  0.667   107  0.000  0.333    0.0%    0.0%    0.0%         0.0       DeNA BayStars     CL
75         Matsumoto Go  4   6   6  0  1   0   0   0   1    0   0   0   0   0   2   0    0   0    1  0.167  0.167  0.167  0.333     5  0.000  0.250   33.3%   33.3%    0.0%  0.00   0.0  Nipponham Fighters     PL
76    Kuwahara Masayuki  5  23  19  2  4   1   0   0   5    0   0   0   1   0   6   1    0   2    1  0.211  0.318  0.263  0.581    82  0.053  0.308   30.4%   26.1%    4.3%  0.17   0.0       DeNA BayStars     CL
77      Morishita Shota  3  13   9  3  6   2   0   1  11    3   0   0   0   0   0   3    0   1    0  0.667  0.769  1.222  1.991   536  0.556  0.625   30.8%    0.0%   23.1%  1.00   0.0      Hanshin Tigers     CL
78        Masaki Tomoya  1   1   1  0  0   0   0   0   0    0   0   0   0   0   0   0    0   0    0  0.000  0.000  0.000  0.000   -98  0.000  0.000    0.0%    0.0%    0.0%         0.0      SoftBank Hawks     PL
79        Mizutani Shun  3  13  13  1  4   0   0   0   4    1   0   1   0   0   4   0    0   0    0  0.308  0.308  0.308  0.615    89  0.000  0.444   30.8%   30.8%    0.0%  0.00  -0.3  Nipponham Fighters     PL
80        Umino Takashi  3   9   7  0  1   0   0   0   1    0   0   0   1   0   2   1    0   0    0  0.143  0.250  0.143  0.393    26  0.000  0.200   33.3%   22.2%   11.1%  0.50   0.0      SoftBank Hawks     PL
81     Kumagai Takahiro  1   3   3  0  0   0   0   0   0    0   0   0   0   0   0   0    0   0    0  0.000  0.000  0.000  0.000  -104  0.000  0.000    0.0%    0.0%    0.0%         0.0      Hanshin Tigers     CL
82           Maki Shugo  5  20  16  1  3   0   0   1   6    2   0   0   0   0   2   3    0   1    0  0.188  0.350  0.375  0.725   124  0.188  0.154   30.0%   10.0%   15.0%  1.50   0.0       DeNA BayStars     CL
83        Ishida Yutaro  1   1   1  0  0   0   0   0   0    0   0   0   0   0   0   0    0   0    0  0.000  0.000  0.000  0.000   -98  0.000  0.000    0.0%    0.0%    0.0%         0.0       DeNA BayStars     CL
84            Takeda Yu  1   2   2  0  0   0   0   0   0    0   0   0   0   0   2   0    0   0    0  0.000  0.000  0.000  0.000   -98  0.000         100.0%  100.0%    0.0%  0.00   0.0       DeNA BayStars     CL
85   Kurebayashi Kotaro  2   8   8  1  2   0   0   1   5    3   0   0   0   0   3   0    0   0    1  0.250  0.250  0.625  0.875   168  0.375  0.250   50.0%   37.5%    0.0%  0.00   0.0      ORIX Buffaloes     PL
86      Wakatsuki Kenya  2   6   5  1  2   1   0   0   3    0   0   0   0   0   1   1    0   0    0  0.400  0.500  0.600  1.100   247  0.200  0.500   33.3%   16.7%   16.7%  1.00   0.0      ORIX Buffaloes     PL
87   Wakabayashi Gakuto  2   6   5  1  2   0   0   1   5    2   0   0   1   0   1   0    0   0    0  0.400  0.400  1.000  1.400   333  0.600  0.333   33.3%   16.7%    0.0%  0.00   0.0      Yomiuri Giants     CL
88         Ebina Tatsuo  5  24  24  2  6   1   0   0   7    3   0   0   0   0   8   0    0   0    0  0.250  0.250  0.292  0.542    68  0.042  0.375   33.3%   33.3%    0.0%  0.00   0.0       DeNA BayStars     CL
89         Shintoh Yuya  1   4   4  0  1   0   0   0   1    0   0   0   0   0   1   0    0   0    0  0.250  0.250  0.250  0.500    54  0.000  0.333   25.0%   25.0%    0.0%  0.00   0.0  Nipponham Fighters     PL
90           Gunji Yuya  5  20  18  3  5   2   0   1  10    5   0   0   0   1   5   0    0   1    1  0.278  0.300  0.556  0.856   154  0.278  0.308   30.0%   25.0%    0.0%  0.00   0.0  Nipponham Fighters     PL
91          Nomura Yuki  2   3   3  0  0   0   0   0   0    0   0   0   0   0   0   0    0   0    0  0.000  0.000  0.000  0.000   -95  0.000  0.000    0.0%    0.0%    0.0%         0.0  Nipponham Fighters     PL
92         Nomura Isami  3   9   9  1  1   0   0   1   4    1   0   0   0   0   5   0    0   0    0  0.111  0.111  0.444  0.556    64  0.333  0.000   66.7%   55.6%    0.0%  0.00   0.0      SoftBank Hawks     PL
93           Tongu Yuma  1   4   4  0  0   0   0   0   0    0   0   0   0   0   0   0    0   0    0  0.000  0.000  0.000  0.000  -102  0.000  0.000    0.0%    0.0%    0.0%         0.0      ORIX Buffaloes     PL
