#,Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,K%,BB%,BB/K,wSB,TTO%,Age,Pos,B,Team,League
,Yasuda Hisanori,122,529,449,65,116,16,4,19,197,82,1,1,0,3,109,73,0,4,8,0.258,0.365,0.439,0.804,128,0.181,0.299,20.6%,13.8%,0.67,0.2,38.0%,20,,L,Lotte Marines,EL
,Kawase Hikaru,87,330,285,35,70,4,6,2,92,24,7,4,18,3,53,21,0,3,3,0.246,0.301,0.323,0.624,82,0.077,0.292,16.1%,6.4%,0.40,0.1,23.0%,21,4,L,SoftBank Hawks,WL
,Kuki Ryuhei,93,316,270,39,70,13,4,6,109,34,5,3,5,3,57,36,0,2,5,0.259,0.347,0.404,0.751,118,0.145,0.305,18.0%,11.4%,0.63,0.0,31.3%,20,2,R,SoftBank Hawks,WL
,Masago Yusuke,107,409,368,48,93,22,2,5,134,32,26,11,3,1,68,35,0,2,7,0.253,0.320,0.364,0.684,99,0.111,0.297,16.6%,8.6%,0.51,1.0,26.4%,25,8,R,SoftBank Hawks,WL
,Masuda Shu,111,383,327,36,91,18,4,7,138,53,9,4,15,6,52,27,0,8,8,0.278,0.342,0.422,0.764,122,0.144,0.307,13.6%,7.0%,0.52,0.4,22.5%,20,4,R,SoftBank Hawks,WL
,Mimori Masaki,85,344,309,42,74,9,6,4,107,29,21,10,1,1,73,27,0,6,0,0.239,0.312,0.346,0.658,91,0.107,0.300,21.2%,7.8%,0.37,0.5,30.2%,20,4,L,SoftBank Hawks,WL
,Tashiro Tsubasa,112,372,352,45,108,12,5,4,142,45,10,9,3,0,46,13,0,4,9,0.307,0.339,0.403,0.742,115,0.096,0.344,12.4%,3.5%,0.28,-1.0,16.9%,20,,L,SoftBank Hawks,WL
,Nishimaki Kenji,106,381,317,42,74,16,1,1,95,25,8,6,10,5,76,41,0,8,6,0.233,0.332,0.300,0.632,86,0.067,0.298,19.9%,10.8%,0.54,-0.4,31.0%,20,6,R,Rakuten Eagles,EL
,Uchida Yasuhito,100,381,337,44,87,18,0,14,147,59,4,2,1,5,84,34,1,4,14,0.258,0.329,0.436,0.765,122,0.178,0.299,22.0%,8.9%,0.40,0.2,34.6%,24,3,R,Rakuten Eagles,EL
,Kawagoe Seiji,93,329,308,40,66,8,3,8,104,34,6,4,0,3,69,17,1,1,3,0.214,0.255,0.338,0.593,70,0.124,0.248,21.0%,5.2%,0.25,-0.2,28.6%,26,,L,Seibu Lions,EL
,Nishikawa Manaya,103,418,384,42,93,10,4,3,120,25,10,5,3,2,79,28,0,1,7,0.242,0.294,0.313,0.607,75,0.071,0.296,18.9%,6.7%,0.35,0.3,26.3%,20,,L,Seibu Lions,EL
,Togawa Daisuke,91,354,324,37,85,15,2,5,119,44,5,6,2,0,63,25,0,3,3,0.262,0.321,0.367,0.688,98,0.105,0.312,17.8%,7.1%,0.40,-0.9,26.3%,23,9,L,Seibu Lions,EL
,Yamanobe Kakeru,87,346,303,53,82,11,6,12,141,35,29,6,3,3,57,28,1,9,6,0.271,0.347,0.465,0.812,132,0.194,0.295,16.5%,8.1%,0.49,3.2,28.0%,25,5,R,Seibu Lions,EL
,Imai Junnosuke,89,351,301,37,77,14,1,10,123,49,0,0,9,4,67,32,0,5,8,0.256,0.333,0.409,0.742,113,0.153,0.294,19.1%,9.1%,0.48,0.2,31.1%,21,5,L,Nipponham Fighters,EL
,Namba Yuhei,105,358,322,28,51,6,2,0,61,11,2,4,6,1,98,26,0,3,7,0.158,0.227,0.189,0.416,22,0.031,0.227,27.4%,7.3%,0.27,-0.8,34.6%,20,,L,Nipponham Fighters,EL
