Pitcher,G,W,L,SV,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,Team,Age,T,League
Messenger Randy,2,0,1,0,0,0,36,9.0,7,2,3,3,0,0,0,7,7,7.00,6.80,4.80,1.11,50,165,129,0.20,5.6%,8.3%,8.3%,0.0%,Hanshin Tigers,37,R,WL
Mochizuki Atsushi,16,6,4,0,0,0,343,84.2,73,6,67,27,0,4,5,27,24,2.55,4.01,3.63,1.18,137,97,97,-1.46,1.7%,19.5%,7.9%,11.7%,Hanshin Tigers,21,R,WL
Moriya Koki,1,0,0,0,0,0,5,1.0,1,0,0,1,0,0,0,0,0,0.00,6.58,6.80,2.00,999,159,182,-6.58,0.0%,0.0%,20.0%,-20.0%,Hanshin Tigers,25,R,WL
Nomi Atsushi,2,0,0,0,0,0,6,2.0,0,0,2,0,0,0,0,0,0,0.00,1.58,1.47,0.00,999,38,39,-1.58,0.0%,33.3%,0.0%,33.3%,Hanshin Tigers,40,L,WL
Okamoto Yosuke,25,1,3,1,0,0,106,24.0,27,3,23,8,1,1,2,12,12,4.50,4.41,3.38,1.46,77,107,91,0.09,2.8%,21.7%,7.5%,14.2%,Hanshin Tigers,33,R,WL
Onaka Yuya,43,0,2,3,0,0,186,42.1,43,4,53,18,1,1,6,24,20,4.25,3.65,2.92,1.44,82,88,78,0.60,2.2%,28.5%,9.7%,18.8%,Hanshin Tigers,24,R,WL
Ono Taiki,5,1,1,0,0,0,69,16.0,12,1,12,11,0,0,1,8,8,4.50,4.95,4.66,1.44,77,120,125,-0.45,1.4%,17.4%,15.9%,1.4%,Hanshin Tigers,25,R,WL
Saiki Hiroto,6,3,1,0,0,0,93,23.1,17,3,21,8,0,0,1,6,6,2.31,4.48,3.40,1.07,151,109,91,-2.17,3.2%,22.6%,8.6%,14.0%,Hanshin Tigers,20,R,WL
Saito Yukiya,33,1,2,8,0,0,151,33.0,36,5,29,15,0,5,7,19,14,3.82,5.61,3.87,1.55,91,136,104,-1.79,3.3%,19.2%,9.9%,9.3%,Hanshin Tigers,24,R,WL
Saiuchi Hiroaki,34,1,2,0,0,0,150,36.0,39,4,25,11,0,0,2,21,16,4.00,4.55,3.87,1.39,87,110,104,-0.55,2.7%,16.7%,7.3%,9.3%,Hanshin Tigers,25,R,WL
Takahashi Akifumi,16,1,1,0,0,0,65,15.0,19,2,10,4,0,0,1,12,11,6.60,4.78,3.88,1.53,53,116,104,1.82,3.1%,15.4%,6.2%,9.2%,Hanshin Tigers,36,L,WL
Takahashi Haruto,6,2,0,0,0,0,123,32.0,24,4,27,7,0,0,0,8,8,2.25,4.17,3.17,0.97,155,101,85,-1.92,3.3%,22.0%,5.7%,16.3%,Hanshin Tigers,23,L,WL
Takano Keisuke,13,0,0,6,0,0,47,12.0,6,0,11,3,0,2,1,5,5,3.75,2.99,3.10,0.75,93,73,83,0.76,0.0%,23.4%,6.4%,17.0%,Hanshin Tigers,,,WL
Tanigawa Masaki,24,4,1,0,0,0,168,41.2,41,7,34,7,0,1,2,20,15,3.24,4.70,3.19,1.15,108,114,86,-1.46,4.2%,20.2%,4.2%,16.1%,Hanshin Tigers,26,R,WL
Yokoyama Yuya,8,1,1,0,0,0,115,28.1,24,1,17,8,0,3,0,9,9,2.86,4.00,4.02,1.13,122,97,108,-1.14,0.9%,14.8%,7.0%,7.8%,Hanshin Tigers,25,L,WL
Yuasa Atsuki,5,1,2,1,0,0,76,19.0,19,1,6,4,1,1,0,9,9,4.26,4.42,4.54,1.21,82,107,122,-0.16,1.3%,7.9%,5.3%,2.6%,Hanshin Tigers,19,R,WL
Aduwa Makoto,10,5,3,0,3,1,278,70.0,62,3,20,15,0,1,5,18,17,2.19,4.25,4.62,1.10,157,105,124,-2.06,1.1%,7.2%,5.4%,1.8%,Hiroshima Carp,20,R,WL
Endo Atsushi,14,3,1,0,1,0,235,58.2,46,6,51,16,0,3,2,21,20,3.07,4.14,3.31,1.06,112,102,89,-1.07,2.6%,21.7%,6.8%,14.9%,Hiroshima Carp,,,WL
Franzua Geronimo,2,0,0,0,0,0,7,2.0,1,0,0,0,0,0,0,0,0,0.00,3.58,4.80,0.50,999,88,129,-3.58,0.0%,0.0%,0.0%,0.0%,Hiroshima Carp,25,L,WL
Fujii Koya,26,2,0,6,0,0,93,27.0,12,1,23,4,0,0,1,1,1,0.33,2.80,2.76,0.59,1041,69,74,-2.47,1.1%,24.7%,4.3%,20.4%,Hiroshima Carp,22,R,WL
Fujii Reira,8,0,1,0,0,0,45,10.2,10,2,8,5,0,1,0,9,7,5.91,6.20,4.13,1.41,58,153,111,-0.29,4.4%,17.8%,11.1%,6.7%,Hiroshima Carp,19,R,WL
Hellweg Johnny,30,2,1,3,0,0,118,29.1,15,0,24,16,1,2,2,16,11,3.38,3.78,4.12,1.06,102,93,110,-0.40,0.0%,20.3%,13.6%,6.8%,Hiroshima Carp,30,R,WL
Hiraoka Takato,31,1,1,1,0,0,155,34.2,35,1,19,18,0,1,3,18,18,4.67,4.50,4.74,1.53,74,111,127,0.17,0.6%,12.3%,11.6%,0.6%,Hiroshima Carp,23,R,WL
Horie Atsuya,21,1,1,2,0,0,92,21.2,18,1,22,9,0,2,2,9,7,2.91,3.67,3.39,1.25,118,90,91,-0.76,1.1%,23.9%,9.8%,14.1%,Hiroshima Carp,22,L,WL
Ichioka Ryuji,3,0,0,0,0,0,13,3.0,5,0,0,0,0,0,0,0,0,0.00,3.58,4.80,1.67,999,88,129,-3.58,0.0%,0.0%,0.0%,0.0%,Hiroshima Carp,28,R,WL
Iida Tetsuya,22,0,1,0,0,0,64,13.2,16,0,13,2,0,2,2,9,6,3.95,2.55,3.08,1.32,87,63,83,1.40,0.0%,20.3%,3.1%,17.2%,Hiroshima Carp,28,L,WL
Imamura Takeru,27,1,3,7,0,0,120,26.2,33,1,24,7,0,0,0,16,12,4.05,3.05,3.38,1.50,85,75,91,1.00,0.8%,20.0%,5.8%,14.2%,Hiroshima Carp,28,R,WL
Kemna Makoto,19,4,4,0,1,1,346,80.2,79,2,47,28,0,4,3,35,31,3.46,3.92,4.25,1.33,99,97,114,-0.46,0.6%,13.6%,8.1%,5.5%,Hiroshima Carp,24,R,WL
Kuri Aren,1,1,0,0,0,0,22,7.0,1,0,6,1,0,0,0,0,0,0.00,2.29,2.53,0.29,999,56,68,-2.29,0.0%,27.3%,4.5%,22.7%,Hiroshima Carp,27,R,WL
Lawrence Casey,21,4,7,0,0,0,462,105.2,125,12,73,15,0,7,2,59,53,4.51,4.30,3.54,1.32,76,106,95,0.21,2.6%,15.8%,3.2%,12.6%,Hiroshima Carp,31,R,WL
Mena Alfredo,9,2,3,0,0,0,130,28.2,31,1,24,12,0,4,2,19,11,3.45,4.03,3.88,1.50,100,99,104,-0.58,0.8%,18.5%,9.2%,9.2%,Hiroshima Carp,25,R,WL
Montilla Emailin,13,2,4,0,0,0,285,64.2,69,2,62,28,0,0,5,23,20,2.78,3.36,3.61,1.50,124,83,97,-0.58,0.7%,21.8%,9.8%,11.9%,Hiroshima Carp,23,L,WL
Nagai Ryota,13,1,0,0,0,0,51,11.2,8,0,7,7,0,0,4,6,5,3.86,4.18,4.80,1.29,89,103,129,-0.32,0.0%,13.7%,13.7%,0.0%,Hiroshima Carp,20,R,WL
Nagakawa Katsuhiro,18,0,3,1,0,0,68,16.0,20,0,6,3,0,0,1,11,11,6.19,3.39,4.36,1.44,55,83,117,2.80,0.0%,8.8%,4.4%,4.4%,Hiroshima Carp,38,R,WL
Nakamura Kyohei,5,0,1,0,0,0,26,6.0,7,0,10,1,0,0,1,4,3,4.50,0.74,1.34,1.33,76,18,36,3.76,0.0%,38.5%,3.8%,34.6%,Hiroshima Carp,30,L,WL
Nakamura Yuta,25,4,4,0,0,0,273,65.1,62,6,40,17,0,1,2,33,29,3.99,4.37,3.96,1.21,86,108,106,-0.38,2.2%,14.7%,6.2%,8.4%,Hiroshima Carp,23,R,WL
Nakata Ren,15,0,1,2,0,0,57,15.0,11,1,16,3,0,0,0,1,1,0.60,2.91,2.52,0.93,572,72,67,-2.31,1.8%,28.1%,5.3%,22.8%,Hiroshima Carp,28,R,WL
Nakazaki Shota,10,1,0,0,0,0,45,10.0,13,0,5,3,0,1,0,4,4,3.60,3.78,4.36,1.60,95,93,117,-0.18,0.0%,11.1%,6.7%,4.4%,Hiroshima Carp,26,R,WL
Nomura Yusuke,4,1,0,0,1,1,103,25.2,28,0,22,4,0,0,0,9,9,3.16,2.33,3.05,1.25,109,57,82,0.83,0.0%,21.4%,3.9%,17.5%,Hiroshima Carp,30,R,WL
Okada Akitake,23,1,2,1,0,0,106,24.1,20,0,16,11,0,3,1,9,8,2.96,3.99,4.33,1.27,116,98,116,-1.03,0.0%,15.1%,10.4%,4.7%,Hiroshima Carp,25,R,WL
Regnault Kyle,8,0,0,1,0,0,31,8.1,3,0,12,2,0,0,0,0,0,0.00,1.42,1.57,0.60,999,35,42,-1.42,0.0%,38.7%,6.5%,32.3%,Hiroshima Carp,30,L,WL
Shimauchi Sotaro,18,0,1,3,0,0,82,21.0,16,1,19,5,0,0,1,6,6,2.57,3.10,3.09,1.00,134,76,83,-0.53,1.2%,23.2%,6.1%,17.1%,Hiroshima Carp,22,R,WL
Takahashi Mikiya,20,3,3,0,0,0,111,21.2,38,1,19,7,0,2,0,21,20,8.31,3.67,3.72,2.08,41,90,100,4.64,0.9%,17.1%,6.3%,10.8%,Hiroshima Carp,22,L,WL
Tanaka Norihiko,4,0,0,0,0,0,19,4.0,7,0,2,1,0,1,0,1,1,2.25,4.08,4.27,2.00,153,100,114,-1.83,0.0%,10.5%,5.3%,5.3%,Hiroshima Carp,18,R,WL
Toda Takaya,21,0,0,0,0,0,76,18.0,18,2,10,5,0,0,0,8,7,3.50,4.74,4.14,1.28,98,117,111,-1.24,2.6%,13.2%,6.6%,6.6%,Hiroshima Carp,26,L,WL
Yabuta Kazuki,20,6,8,1,0,0,396,92.2,91,9,51,37,0,5,8,44,41,3.98,5.10,4.45,1.38,86,125,119,-1.12,2.3%,12.9%,9.3%,3.5%,Hiroshima Carp,26,R,WL
Yamaguchi Sho,16,6,6,0,0,0,417,93.2,102,9,57,42,0,1,5,53,46,4.42,4.99,4.44,1.54,78,123,119,-0.57,2.2%,13.7%,10.1%,3.6%,Hiroshima Carp,20,R,WL
Yasaki Takuya,34,2,3,0,0,0,149,35.1,25,4,35,21,0,0,6,20,18,4.58,4.85,3.86,1.30,75,119,103,-0.27,2.7%,23.5%,14.1%,9.4%,Hiroshima Carp,24,R,WL
Yokoyama Hiroki,11,0,0,0,0,0,37,7.2,9,1,2,6,0,0,0,3,2,2.35,7.10,5.88,1.96,146,175,158,-4.75,2.7%,5.4%,16.2%,-10.8%,Hiroshima Carp,27,R,WL
Akama Ken,38,1,0,2,0,0,163,40.1,32,0,37,13,0,1,4,9,7,1.56,2.78,3.33,1.12,219,69,89,-1.22,0.0%,22.7%,8.0%,14.7%,DeNA BayStars,28,R,EL
Ayabe Kakeru,3,0,0,0,0,0,15,3.0,3,1,3,4,0,0,0,2,2,6.00,9.91,5.47,2.33,57,245,146,-3.91,6.7%,20.0%,26.7%,-6.7%,DeNA BayStars,22,R,EL
Azuma Katsuki,9,4,1,0,0,0,149,40.2,20,3,47,9,0,2,0,11,9,1.99,3.04,2.25,0.71,172,75,60,-1.05,2.0%,31.5%,6.0%,25.5%,DeNA BayStars,23,L,EL
Barrios Edison,22,1,2,1,0,0,206,45.2,61,0,39,11,0,3,3,36,25,4.93,2.79,3.44,1.58,69,69,92,2.14,0.0%,18.9%,5.3%,13.6%,DeNA BayStars,30,R,EL
Cordero Remy,14,0,0,0,0,0,103,17.1,24,2,14,28,0,2,4,28,24,12.46,8.65,6.16,3.00,27,214,165,3.81,1.9%,13.6%,27.2%,-13.6%,DeNA BayStars,21,L,EL
Fujioka Yoshiaki,10,0,0,1,0,0,41,9.2,10,0,10,3,0,0,0,2,2,1.86,2.44,3.09,1.34,184,60,83,-0.58,0.0%,24.4%,7.3%,17.1%,DeNA BayStars,34,R,EL
Hamaguchi Haruhiro,6,0,1,0,0,0,94,24.0,20,3,22,7,0,0,1,7,7,2.63,4.24,3.20,1.12,130,105,86,-1.61,3.2%,23.4%,7.4%,16.0%,DeNA BayStars,24,L,EL
Hamaya Kodai,25,1,6,2,0,0,268,59.0,63,6,60,33,0,4,3,31,29,4.42,4.75,3.79,1.63,77,117,102,-0.33,2.2%,22.4%,12.3%,10.1%,DeNA BayStars,26,L,EL
Hirata Shingo,41,2,4,6,0,0,192,47.1,38,0,53,15,0,4,2,21,17,3.23,2.54,2.82,1.12,106,63,76,0.69,0.0%,27.6%,7.8%,19.8%,DeNA BayStars,29,R,EL
Iizuka Satoshi,14,3,6,0,0,0,217,46.2,55,5,27,21,0,3,6,35,27,5.21,5.35,4.52,1.63,66,132,121,-0.14,2.3%,12.4%,9.7%,2.8%,DeNA BayStars,22,R,EL
Ino Shoichi,9,3,6,0,0,0,197,45.2,58,5,42,8,0,2,1,27,25,4.93,3.82,3.07,1.45,69,94,82,1.11,2.5%,21.3%,4.1%,17.3%,DeNA BayStars,33,R,EL
Ishida Kenta,5,0,0,0,0,0,19,4.2,4,0,6,1,0,0,0,0,0,0.00,1.65,2.17,1.07,999,41,58,-1.65,0.0%,31.6%,5.3%,26.3%,DeNA BayStars,26,L,EL
Kamichatani Taiga,1,0,0,0,0,0,20,4.0,7,0,1,1,0,0,1,3,3,6.75,3.83,4.80,2.00,51,95,129,2.92,0.0%,5.0%,5.0%,0.0%,DeNA BayStars,22,R,EL
Kasai Takamasa,22,2,0,1,0,0,115,29.0,19,1,20,10,0,1,1,7,6,1.86,3.78,3.93,1.00,184,94,105,-1.92,0.9%,17.4%,8.7%,8.7%,DeNA BayStars,24,R,EL
Katsumata Atsushi,17,2,3,0,0,0,225,48.0,46,4,37,38,0,1,3,45,38,7.13,5.56,4.84,1.75,48,137,130,1.57,1.8%,16.4%,16.9%,-0.4%,DeNA BayStars,19,R,EL
Komura Toru,3,0,0,0,0,0,20,4.0,1,0,0,8,0,0,0,4,3,6.75,9.58,8.80,2.25,51,237,236,-2.83,0.0%,0.0%,40.0%,-40.0%,DeNA BayStars,25,L,EL
Kumabara Kento,3,0,1,0,0,0,13,3.0,4,0,1,0,0,0,0,1,1,3.00,2.91,4.03,1.33,114,72,108,0.09,0.0%,7.7%,0.0%,7.7%,DeNA BayStars,25,R,EL
Kyoyama Masaya,15,7,5,0,0,0,375,90.0,83,4,87,29,0,4,2,34,26,2.60,3.32,3.25,1.24,131,82,87,-0.72,1.1%,23.2%,7.7%,15.5%,DeNA BayStars,20,R,EL
Mikami Tomoya,9,0,0,3,0,0,41,9.1,13,1,10,0,0,0,0,3,3,2.89,2.83,2.36,1.39,118,70,63,0.06,2.4%,24.4%,0.0%,24.4%,DeNA BayStars,30,R,EL
Miyagi Daita,16,3,6,0,0,0,193,41.1,43,5,28,27,0,5,3,34,28,6.10,6.12,4.75,1.69,56,151,127,-0.02,2.6%,14.5%,14.0%,0.5%,DeNA BayStars,18,R,EL
Muto Yuta,15,0,1,4,0,0,60,13.2,14,0,14,5,0,0,2,6,4,2.63,2.62,3.30,1.39,130,65,88,0.01,0.0%,23.3%,8.3%,15.0%,DeNA BayStars,30,R,EL
Nakagawa Koo,20,11,3,1,0,0,433,104.0,81,4,93,50,0,2,14,33,26,2.25,3.79,3.81,1.26,152,94,102,-1.54,0.9%,21.5%,11.5%,9.9%,DeNA BayStars,19,R,EL
Nakaushiro Yuhei,44,5,0,4,0,0,191,46.1,24,0,47,27,1,4,1,8,6,1.17,3.55,3.75,1.10,292,88,101,-2.38,0.0%,24.6%,14.1%,10.5%,DeNA BayStars,29,L,EL
Onuki Shinichi,9,3,1,0,0,0,116,28.0,23,2,21,10,0,1,2,13,10,3.21,4.18,3.85,1.18,106,103,103,-0.97,1.7%,18.1%,8.6%,9.5%,DeNA BayStars,,,EL
Patton Spencer,2,0,0,0,0,0,7,2.0,1,0,3,0,0,0,0,0,0,0.00,0.58,0.51,0.50,999,14,14,-0.58,0.0%,42.9%,0.0%,42.9%,DeNA BayStars,31,R,EL
Saito Shunsuke,25,2,0,1,0,0,131,31.0,32,0,28,8,0,2,2,14,13,3.77,2.74,3.27,1.29,91,68,88,1.03,0.0%,21.4%,6.1%,15.3%,DeNA BayStars,25,R,EL
Sakaguchi Kosuke,20,4,6,0,1,0,425,94.1,93,5,69,60,0,5,7,56,49,4.67,4.87,4.59,1.62,73,120,123,-0.20,1.2%,16.2%,14.1%,2.1%,DeNA BayStars,19,R,EL
Sakurai Shuto,22,3,2,0,0,0,135,32.0,24,0,24,17,0,1,2,10,8,2.25,3.76,4.28,1.28,152,93,115,-1.51,0.0%,17.8%,12.6%,5.2%,DeNA BayStars,20,L,EL
Shindo Takuya,36,2,1,2,0,0,177,42.2,28,1,62,27,0,0,5,14,13,2.74,2.87,2.82,1.29,125,71,76,-0.13,0.6%,35.0%,15.3%,19.8%,DeNA BayStars,26,R,EL
Solis Sammy,2,0,0,0,0,0,9,2.0,1,0,3,2,0,0,0,0,0,0.00,3.58,3.69,1.50,999,88,99,-3.58,0.0%,33.3%,22.2%,11.1%,DeNA BayStars,30,L,EL
Sunada Yoshiki,28,1,1,5,0,0,116,29.0,22,0,32,5,0,1,1,3,3,0.93,1.99,2.47,0.93,367,49,66,-1.06,0.0%,27.6%,4.3%,23.3%,DeNA BayStars,23,L,EL
Taira Kentaro,8,2,0,0,0,0,115,29.2,24,1,25,3,0,1,0,9,6,1.82,2.73,2.89,0.91,188,68,77,-0.91,0.9%,21.7%,2.6%,19.1%,DeNA BayStars,23,R,EL
Tamura Jo,22,3,1,0,0,0,130,24.1,29,3,17,22,0,7,2,35,34,12.58,7.36,5.18,2.10,27,182,139,5.22,2.3%,13.1%,16.9%,-3.8%,DeNA BayStars,26,R,EL
Terada Koki,18,1,0,0,0,0,114,21.0,34,2,16,11,0,6,4,28,23,9.86,5.72,4.36,2.14,35,141,117,4.14,1.8%,14.0%,9.6%,4.4%,DeNA BayStars,27,R,EL
Adames Samuel,37,1,3,0,0,0,192,44.2,51,2,30,9,0,2,1,19,15,3.02,3.55,3.71,1.34,117,85,99,-0.53,1.0%,15.6%,4.7%,10.9%,Yomiuri Giants,24,R,EL
Cook Ryan,15,1,1,0,0,0,111,25.1,29,1,21,9,0,1,0,15,14,4.97,3.62,3.72,1.50,71,87,100,1.35,0.9%,18.9%,8.1%,10.8%,Yomiuri Giants,32,R,EL
De La Rosa Rubby,2,0,0,0,0,0,6,2.0,0,0,1,0,0,0,0,0,0,0.00,2.58,3.13,0.00,999,62,84,-2.58,0.0%,16.7%,0.0%,16.7%,Yomiuri Giants,30,R,EL
Fujioka Takahiro,17,4,0,1,0,0,113,29.1,18,3,16,12,0,3,3,11,9,2.76,5.35,4.45,1.02,128,128,119,-2.59,2.7%,14.2%,10.6%,3.5%,Yomiuri Giants,29,L,EL
Furukawa Yuri,7,3,2,0,0,0,136,31.2,29,3,34,11,0,1,2,16,10,2.84,3.80,3.11,1.26,124,91,83,-0.96,2.2%,25.0%,8.1%,16.9%,Yomiuri Giants,23,R,EL
Hashimoto Atsuro,4,0,0,0,0,0,25,5.2,6,0,4,4,0,0,0,2,2,3.18,4.28,4.80,1.76,111,103,129,-1.10,0.0%,16.0%,16.0%,0.0%,Yomiuri Giants,21,L,EL
Hatake Seishu,7,1,3,0,0,0,178,41.2,40,6,32,10,0,3,1,25,16,3.46,4.85,3.56,1.20,102,116,95,-1.39,3.4%,18.0%,5.6%,12.4%,Yomiuri Giants,25,R,EL
Hirai Kaisei,1,0,0,0,0,0,3,1.0,0,0,1,0,0,0,0,0,0,0.00,1.58,1.47,0.00,999,38,39,-1.58,0.0%,33.3%,0.0%,33.3%,Yomiuri Giants,18,R,EL
Horioka Hayato,29,0,1,9,0,0,137,34.2,16,0,39,14,0,2,1,5,4,1.04,2.71,2.98,0.87,339,65,80,-1.67,0.0%,28.5%,10.2%,18.2%,Yomiuri Giants,20,R,EL
Ikeda Shun,38,4,3,3,0,0,226,55.0,43,4,41,20,0,2,2,20,16,2.62,4.23,3.87,1.15,134,102,104,-1.61,1.8%,18.1%,8.8%,9.3%,Yomiuri Giants,26,L,EL
Imamura Nobutaka,8,4,0,0,0,0,189,47.2,34,2,31,18,0,1,1,9,7,1.32,4.02,4.11,1.09,267,96,110,-2.70,1.1%,16.4%,9.5%,6.9%,Yomiuri Giants,25,L,EL
Iwakuma Hisashi,2,0,0,0,0,0,7,2.0,0,0,2,0,0,0,0,0,0,0.00,1.58,1.94,0.00,999,38,52,-1.58,0.0%,28.6%,0.0%,28.6%,Yomiuri Giants,38,R,EL
Jungmann Taylor,15,5,2,0,0,0,293,72.0,56,4,52,30,0,4,3,20,13,1.63,4.27,4.05,1.19,216,102,108,-2.64,1.4%,17.7%,10.2%,7.5%,Yomiuri Giants,29,R,EL
Kuwahara Takuya,40,3,2,3,0,0,170,42.2,31,2,50,14,0,1,1,15,14,2.95,2.90,2.68,1.05,119,70,72,0.05,1.2%,29.4%,8.2%,21.2%,Yomiuri Giants,23,R,EL
Mathieson Scott,7,1,0,0,0,0,27,7.0,7,1,9,0,0,0,0,3,3,3.86,2.86,1.47,1.00,91,69,39,1.00,3.7%,33.3%,0.0%,33.3%,Yomiuri Giants,35,R,EL
Mercedes Cristopher Crisostomo,4,0,0,0,0,0,68,18.0,15,0,18,2,0,0,0,3,0,0.00,1.91,2.45,0.94,999,46,66,-1.91,0.0%,26.5%,2.9%,23.5%,Yomiuri Giants,,,EL
Miyaguni Ryosuke,17,0,1,1,0,0,65,17.0,9,1,19,5,0,0,0,6,5,2.65,2.99,2.65,0.82,133,72,71,-0.34,1.5%,29.2%,7.7%,21.5%,Yomiuri Giants,27,R,EL
Morifuku Masahiko,41,2,2,4,0,0,146,39.1,26,3,51,3,0,4,0,8,7,1.60,2.51,1.51,0.74,220,60,41,-0.91,2.1%,34.9%,2.1%,32.9%,Yomiuri Giants,32,L,EL
Naoe Daisuke,3,0,1,0,0,0,27,5.0,8,1,2,4,0,0,0,6,6,10.80,7.78,5.54,2.40,33,187,148,3.02,3.7%,7.4%,14.8%,-7.4%,Yomiuri Giants,19,R,EL
Nogami Ryoma,19,2,2,0,0,0,195,47.2,45,4,39,9,0,1,2,17,16,3.02,3.66,3.26,1.13,117,88,87,-0.64,2.1%,20.0%,4.6%,15.4%,Yomiuri Giants,32,R,EL
Numata Shohei,3,0,0,0,0,0,38,9.0,7,0,8,4,0,0,0,2,2,2.00,3.13,3.75,1.22,176,75,100,-1.13,0.0%,21.1%,10.5%,10.5%,Yomiuri Giants,19,R,EL
Oe Ryusei,23,2,4,0,0,0,192,42.2,48,6,46,16,0,3,1,25,24,5.06,4.58,3.24,1.50,70,110,87,0.48,3.1%,24.0%,8.3%,15.6%,Yomiuri Giants,,,EL
Otake Kan,10,0,1,0,0,0,110,24.0,31,2,10,4,0,2,3,18,14,5.25,4.58,4.25,1.46,67,110,114,0.67,1.8%,9.1%,3.6%,5.5%,Yomiuri Giants,36,R,EL
Ramos Reimin,4,1,0,0,0,0,28,6.0,4,1,4,3,0,2,0,2,2,3.00,6.91,4.44,1.17,117,166,119,-3.91,3.6%,14.3%,10.7%,3.6%,Yomiuri Giants,23,R,EL
