Batter,Team,Bats,PA,K%,BB%,Swing%,Z-Swing%,Chase%,Contact%,Z-Con%,O-Con%,SwStr%,Whiff%,CSW%,PLUS%,GB%,FB%,LD%,OFFB%,IFFB%,AIR%,HR%,HR/FB,Pull%,Cent%,Oppo%,Pull AIR%
Tonosaki Shuta,Seibu,R,413,17.43341404,8.716707022,41.90637338,60.32432432,21.79034158,78.60026918,87.6344086,51.35135135,8.9678511,21.39973082,28.93401015,57.81161873,38.17567568,51.01351351,10.81081081,38.17567568,12.83783784,61.82432432,1.210653753,3.311258278,34.7972973,41.89189189,23.31081081,16.66666667
Nishikawa Ryoma,ORIX,L,412,14.5631068,3.883495146,50.76640098,65.85081585,33.97932817,82.36714976,88.84955752,68.44106464,8.951563458,17.63285024,26.60944206,61.00551809,50.30487805,39.93902439,9.756097561,33.84146341,6.097560976,49.69512195,1.213592233,3.816793893,31.40243902,41.46341463,27.13414634,11.74698795
Nomura Isami,SoftBank,R,411,29.6836983,5.596107056,52.64567984,72.81045752,31.45604396,60.94147583,71.0951526,36.24454148,20.56262559,39.05852417,34.09243135,59.61152043,46.53846154,41.15384615,12.30769231,27.30769231,13.84615385,53.46153846,2.919708029,11.21495327,44.23076923,41.15384615,14.61538462,19.92337165
Sakamoto Seishiro,Hanshin,R,409,22.24938875,11.49144254,38.78370625,53.7056928,21.59509202,75.14792899,84.6,48.29545455,9.638554217,24.85207101,33.56282272,58.80665519,51.1627907,40.69767442,8.139534884,31.00775194,9.689922481,48.8372093,0.488997555,1.904761905,38.37209302,39.92248062,21.70542636,12.92775665
Ebina Tatsuo,DeNA,R,402,16.91542289,7.462686567,46.43982357,64.9689441,27.3657289,78.69742198,89.29254302,52.80373832,9.892879647,21.30257802,26.96912413,57.84499055,40.6360424,46.99646643,12.36749117,38.51590106,8.480565371,59.3639576,1.990049751,6.015037594,31.80212014,47.70318021,20.49469965,13.74570447
Wakatsuki Kenya,ORIX,R,401,15.21197007,3.990024938,49.85775249,69.2513369,27.81155015,78.17403709,88.22393822,49.72677596,10.88193457,21.82596291,26.81365576,58.81934566,50.47923323,40.89456869,8.626198083,31.62939297,9.265175719,49.52076677,1.496259352,4.6875,39.61661342,38.65814696,21.72523962,14.28571429
Iwata Yukihiro,Yakult,L,400,11.5,5.5,45.51811825,58.44594595,28.75912409,90.22346369,94.21965318,79.69543147,4.450095359,9.776536313,26.95486332,62.55562619,67.91277259,23.98753894,8.099688474,17.75700935,6.230529595,32.08722741,0.0,0.0,24.29906542,49.2211838,26.47975078,4.0
Sakakura Shogo,Hiroshima,L,399,18.04511278,10.02506266,40.54545455,58.12807882,23.45238095,78.92376682,89.83050847,52.79187817,8.545454545,21.07623318,28.72727273,56.18181818,41.39194139,52.01465201,6.593406593,41.02564103,10.98901099,58.60805861,1.253132832,3.521126761,39.56043956,45.05494505,15.38461538,13.92857143
Montero Elehuris,Hiroshima,R,394,22.58883249,5.329949239,51.83615819,70.90909091,35.18518519,69.75476839,85.68376068,41.72932331,15.6779661,30.24523161,28.95480226,58.4039548,37.6344086,54.48028674,7.885304659,41.21863799,13.26164875,62.3655914,2.284263959,5.921052632,37.27598566,42.29390681,20.43010753,19.5035461
Kikuchi Ryosuke,Hiroshima,R,392,17.85714286,3.571428571,41.52046784,51.40073082,30.22284123,84.97652582,90.99526066,73.2718894,6.237816764,15.02347418,31.18908382,61.59844055,50.50847458,41.3559322,8.13559322,29.83050847,11.52542373,49.49152542,1.020408163,3.278688525,43.72881356,38.98305085,17.28813559,18.81188119
