Player,Team,Position,Inning,TZR,RngR,DPR,ARM,Error,位置補正,Framing,Blocking,
鈴木 誠也,広,RF,1015.0,5.2,5.4,-,0.0,-0.2,-4.0,-,-,
大山 悠輔,神,1B,47.0,-0.4,-0.5,0.0,-,0.1,-0.5,-,-,
大山 悠輔,神,3B,900.0,4.3,2.2,0.1,-,2.0,-3.4,-,-,
大山 悠輔,神,LF,8.0,-0.5,-0.5,-,0.0,0.0,-0.1,-,-,
大山 悠輔,神,CF,2.0,0.0,0.0,-,0.0,0.0,0.0,-,-,
大山 悠輔,神,RF,8.0,0.3,0.3,-,0.0,0.0,0.0,-,-,
宮本 秀明,デ,LF,7.0,0.3,0.3,-,0.0,0.0,-0.1,-,-,
宮本 秀明,デ,RF,5.0,0.3,0.3,-,0.0,0.0,0.0,-,-,
山田 哲人,ヤ,2B,725.0,-8.4,-10.1,0.5,-,1.2,1.9,-,-,
菊池 涼介,広,2B,873.0,5.8,1.0,1.6,-,3.2,2.3,-,-,
ロドリゲス,オ,1B,291.0,-2.5,2.8,-0.7,-,-4.5,-3.2,-,-,
ロドリゲス,オ,DH,132.3,-,-,-,-,-,-1.6,-,-,
福田 光輝,ロ,2B,3.0,0.0,0.0,0.0,-,0.0,0.0,-,-,
福田 光輝,ロ,3B,22.0,0.5,1.1,-0.1,-,-0.4,-0.1,-,-,
福田 光輝,ロ,SS,17.0,-0.6,-0.6,0.0,-,0.0,0.1,-,-,
福田 光輝,ロ,DH,1.7,-,-,-,-,-,0.0,-,-,
ブラッシュ,楽,RF,194.3,-3.9,-6.0,-,2.0,0.1,-0.8,-,-,
ブラッシュ,楽,DH,88.0,-,-,-,-,-,-1.1,-,-,
糸原 健斗,神,2B,441.0,2.5,1.1,-0.1,-,1.5,1.2,-,-,
糸原 健斗,神,3B,15.7,0.9,0.7,0.0,-,0.2,-0.1,-,-,
小窪 哲也,広,1B,1.0,0.0,0.0,0.0,-,0.0,0.0,-,-,
ソト,デ,1B,374.3,-1.9,-2.1,0.0,-,0.2,-4.2,-,-,
ソト,デ,2B,417.7,-6.5,-4.5,-1.1,-,-1.0,1.1,-,-,
ソト,デ,RF,128.0,-1.4,0.4,-,-1.9,0.1,-0.5,-,-,
アルモンテ,中,LF,356.3,0.1,1.0,-,-1.0,0.2,-3.4,-,-,
アルモンテ,中,RF,78.0,-0.2,0.7,-,-0.9,0.0,-0.3,-,-,
渡辺 勝,中,LF,8.0,-1.3,-0.9,-,-0.4,0.0,-0.1,-,-,
渡辺 勝,中,CF,1.0,-0.3,-0.1,-,-0.2,0.0,0.0,-,-,
渡辺 勝,中,RF,20.0,0.3,0.7,-,-0.4,0.0,-0.1,-,-,
楠本 泰史,デ,LF,5.0,-0.1,-0.3,-,0.2,0.0,0.0,-,-,
楠本 泰史,デ,RF,12.0,-0.2,-0.3,-,0.1,0.0,0.0,-,-,
丸 佳浩,巨,CF,960.0,0.0,1.1,-,-0.7,-0.4,3.2,-,-,
北條 史也,神,2B,115.0,1.4,0.7,0.8,-,-0.1,0.3,-,-,
北條 史也,神,3B,2.0,-0.5,0.2,0.0,-,-0.7,0.0,-,-,
北條 史也,神,SS,86.7,-0.1,1.3,0.0,-,-1.5,0.7,-,-,
柳田 悠岐,ソ,CF,874.7,4.1,4.2,-,0.3,-0.5,2.9,-,-,
柳田 悠岐,ソ,DH,150.7,-,-,-,-,-,-1.8,-,-,
髙橋 大樹,広,LF,11.0,-0.1,0.7,-,0.0,-0.8,-0.1,-,-,
髙橋 大樹,広,RF,4.0,-1.0,-0.8,-,-0.2,0.0,0.0,-,-,
渡邉 諒,日,2B,952.3,-16.3,-15.6,-0.8,-,0.1,2.6,-,-,
上本 博紀,神,2B,71.3,-3.9,-4.4,0.2,-,0.3,0.2,-,-,
マーティン,ロ,RF,852.3,6.2,1.7,-,4.8,-0.4,-3.4,-,-,
マーティン,ロ,DH,25.0,-,-,-,-,-,-0.3,-,-,
小島 脩平,オ,1B,14.7,0.8,0.7,0.0,-,0.1,-0.2,-,-,
小島 脩平,オ,2B,2.0,0.4,0.4,0.0,-,0.0,0.0,-,-,
小島 脩平,オ,3B,20.0,1.5,1.0,0.2,-,0.3,-0.1,-,-,
小島 脩平,オ,SS,1.0,0.2,0.2,0.0,-,0.0,0.0,-,-,
陽 岱鋼,巨,1B,38.0,0.7,0.5,-0.1,-,0.2,-0.4,-,-,
陽 岱鋼,巨,LF,54.3,1.4,0.5,-,0.9,0.0,-0.5,-,-,
陽 岱鋼,巨,CF,13.0,0.7,0.7,-,0.0,0.0,0.0,-,-,
陽 岱鋼,巨,RF,51.0,1.3,0.9,-,0.4,0.0,-0.2,-,-,
石川 亮,日,C,67.0,-0.3,-,-,-0.2,0.0,1.0,-0.9,0.2,
