                   Player    G   PA   AB    R    H  2B  3B  HR   TB  RBI  SB  CS  SH  SF   SO   BB  IBB  HP  GDP    AVG    OBP    SLG    OPS  OPS+    ISO  BABIP      K%     BB%  BB/K   wSB    TTO% Age  Pos  B                Team League
112         Escobar Edwin   74    1    1    0    0   0   0   0    0    0   0   0   0   0    1    0    0   0    0  0.000  0.000  0.000  0.000   -98  0.000         100.0%    0.0%  0.00   0.0  100.0%  27    1  L       DeNA BayStars     CL
114    Hamaguchi Haruhiro   17   27   26    0    0   0   0   0    0    0   0   0   1   0   16    0    0   0    1  0.000  0.000  0.000  0.000   -98  0.000  0.000   59.3%    0.0%  0.00   0.0   59.3%  24    1  L       DeNA BayStars     CL
116         Hirata Shingo    8    1    1    0    0   0   0   0    0    0   0   0   0   0    1    0    0   0    0  0.000  0.000  0.000  0.000   -98  0.000         100.0%    0.0%  0.00   0.0  100.0%  29    1  R       DeNA BayStars     CL
117        Hosokawa Seiya   36   83   72    9   16   2   0   1   21   10   0   0   0   1   24    8    0   2    1  0.222  0.313  0.292  0.605    70  0.070  0.312   28.9%    9.6%  0.33  -0.0   39.8%  20    7  R       DeNA BayStars     CL
118        Iizuka Satoshi    5    2    2    0    0   0   0   0    0    0   0   0   0   0    1    0    0   0    0  0.000  0.000  0.000  0.000   -98  0.000  0.000   50.0%    0.0%  0.00   0.0   50.0%  22    1  L       DeNA BayStars     CL
119         Imanaga Shota   25   56   43    2    7   0   0   0    7    1   0   0  11   0    9    2    0   0    2  0.163  0.200  0.163  0.363     3  0.000  0.206   16.1%    3.6%  0.22  -0.0   19.6%  25    1  L       DeNA BayStars     CL
120           Ino Shoichi   15   21   17    1    4   0   0   0    4    1   0   0   3   0    5    1    0   0    0  0.235  0.278  0.235  0.513    45  0.000  0.333   23.8%    4.8%  0.20  -0.0   28.6%  33    1  R       DeNA BayStars     CL
121          Ishida Kenta   40   15   12    1    2   1   0   0    3    4   0   0   3   0    4    0    0   0    1  0.167  0.167  0.250  0.417    15  0.083  0.250   26.7%    0.0%  0.00  -0.0   26.7%  26    1  L       DeNA BayStars     CL
122     Ishikawa Takehiro   50  113  101   14   21   3   1   2   32    5   1   3   6   0   34    5    0   1    1  0.208  0.252  0.317  0.569    57  0.109  0.292   30.1%    4.4%  0.15  -0.8   36.3%  32    4  L       DeNA BayStars     CL
123           Itoh Hikaru   84  301  256   30   65   8   0   8   97   27   5   5   3   2   45   37    6   3    4  0.254  0.352  0.379  0.731   103  0.125  0.278   15.0%   12.3%  0.82  -0.9   29.9%  30    2  R       DeNA BayStars     CL
