Rank,Pitcher,G,W,L,SV,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,,Team,League
,伊藤 大海,1,1,0,0,0,0,28,7.0,4,0,9,3,0,0,0,0,0,0.00,1.77,2.66,1.00,999,39,76,-1.77,0.0%,32.1%,10.7%,21.4%,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham Fighters</a>,PL
,Sasaki Chihaya,1,0,0,0,0,0,7,1.1,2,0,0,2,2,0,0,1,1,6.75,7.55,7.66,3.00,58,173,219,-0.80,0.0%,0.0%,28.6%,-28.6%,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA BayStars</a>,CL
,Kitayama Koki,1,0,0,0,0,0,16,4.0,4,2,3,0,0,0,0,4,4,9.00,8.05,2.92,1.00,45,179,84,0.95,12.5%,18.8%,0.0%,18.8%,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham Fighters</a>,PL
,Ota Taisei,1,0,0,0,0,0,4,1.0,0,0,1,1,1,0,1,0,0,0.00,4.05,4.80,1.00,999,97,137,-4.05,0.0%,25.0%,25.0%,0.0%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri Giants</a>,CL
,Yamashita Shunpeita,1,0,1,0,0,0,22,6.0,6,1,5,0,0,0,1,2,2,3.00,3.55,2.53,1.00,126,85,72,-0.55,4.5%,22.7%,0.0%,22.7%,🦬,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX Buffaloes</a>,PL
,Yamasaki Iori,1,0,1,0,0,0,24,6.0,5,2,6,0,0,1,0,4,4,6.00,5.89,2.30,0.83,62,142,66,0.11,8.3%,25.0%,0.0%,25.0%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri Giants</a>,CL
,Yamazaki Soichiro,1,0,0,0,0,0,1,0.1,0,0,1,0,0,0,0,0,0,0.00,-2.95,-5.20,0.00,999,-70,-149,2.95,0.0%,100.0%,0.0%,100.0%,🦬,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX Buffaloes</a>,PL
,岩嵜 翔,2,0,1,0,0,0,9,1.2,4,0,2,0,0,0,0,2,2,10.80,0.65,2.58,2.40,35,16,74,10.15,0.0%,22.2%,0.0%,22.2%,🦬,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX Buffaloes</a>,PL
,Taira Kentaro,1,0,0,0,0,0,6,2.0,1,0,0,0,0,0,0,0,0,0.00,3.05,4.80,0.50,999,70,137,-3.05,0.0%,0.0%,0.0%,0.0%,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA BayStars</a>,CL
,Togo Shosei,1,0,0,0,0,0,14,3.0,6,2,0,1,0,0,0,5,5,15.00,12.72,5.51,2.33,25,306,158,2.28,14.3%,0.0%,7.1%,-7.1%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri Giants</a>,CL
,Morihara Kohei,2,0,0,0,0,0,7,2.0,1,0,1,0,0,0,0,0,0,0.00,2.05,3.37,0.50,999,47,96,-2.05,0.0%,14.3%,0.0%,14.3%,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA BayStars</a>,CL
,Mukunoki Ren,1,0,0,0,0,0,3,1.0,1,0,0,0,0,0,0,0,0,0.00,3.05,4.80,1.00,999,73,137,-3.05,0.0%,0.0%,0.0%,0.0%,🦬,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX Buffaloes</a>,PL
,Tamai Taisho,1,0,0,0,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0.00,3.05,4.80,0.00,999,68,137,-3.05,0.0%,0.0%,0.0%,0.0%,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham Fighters</a>,PL
,Tanaka Seigi,1,0,0,0,0,0,3,1.0,0,0,1,0,0,0,0,0,0,0.00,1.05,1.47,0.00,999,23,42,-1.05,0.0%,33.3%,0.0%,33.3%,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham Fighters</a>,PL
,Tanaka Eito,2,0,1,0,0,0,14,2.2,5,0,0,0,0,1,0,2,2,6.75,4.18,4.80,1.88,55,100,137,2.57,0.0%,0.0%,0.0%,0.0%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri Giants</a>,CL
,Ishida Yutaro,1,0,0,0,0,0,13,4.0,2,0,3,0,0,0,0,0,0,0.00,1.55,2.49,0.50,999,36,71,-1.55,0.0%,23.1%,0.0%,23.1%,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA BayStars</a>,CL
,Funabasama Hiromasa,2,0,0,0,0,0,3,1.0,0,0,0,1,0,0,0,0,0,0.00,6.05,8.13,1.00,999,146,232,-6.05,0.0%,0.0%,33.3%,-33.3%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri Giants</a>,CL
,Nishidate Yuhi,1,0,0,0,0,0,6,1.2,1,0,1,0,0,0,0,0,0,0.00,1.85,3.13,0.60,999,45,90,-1.85,0.0%,16.7%,0.0%,16.7%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri Giants</a>,CL
,Kanemura Shoma,1,0,0,0,0,0,8,1.2,2,0,1,0,0,1,0,0,0,0.00,3.65,3.55,1.20,999,81,101,-3.65,0.0%,12.5%,0.0%,12.5%,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham Fighters</a>,PL
,Saito Yukiya,2,0,0,2,0,0,6,2.0,0,0,3,0,0,0,0,0,0,0.00,0.05,-0.20,0.00,999,1,-6,-0.05,0.0%,50.0%,0.0%,50.0%,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham Fighters</a>,PL
