#,Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,wSB,Age,Pos,B,,Team,League
,<a href=https://npb.jp/bis/eng/players/61465133.html>Makihara Taisei</a>,125,443,418,44,127,17,6,5,171,49,12,4,11,4,63,7,0,3,4,0.304,0.317,0.409,0.726,118,0.105,0.345,16.9%,14.2%,1.6%,0.11,0.5,32,4,L,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,<a href=https://npb.jp/bis/eng/players/21425139.html>Yamakawa Hotaka</a>,130,496,443,45,100,9,0,23,178,62,0,0,0,4,126,45,3,4,7,0.226,0.300,0.402,0.702,111,0.176,0.258,39.1%,25.4%,9.1%,0.36,-0.2,33,DH,R,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,<a href=https://npb.jp/bis/eng/players/73175151.html>Yanagimachi Tatsuru</a>,131,517,442,54,129,17,1,6,166,50,2,2,4,3,109,62,1,6,8,0.292,0.384,0.376,0.760,131,0.084,0.373,34.2%,21.1%,12.0%,0.57,-0.7,28,7,L,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,<a href=https://npb.jp/bis/eng/players/53155150.html>Muneyama Rui</a>,122,460,430,32,112,19,3,3,146,27,7,0,0,9,82,20,2,1,10,0.260,0.289,0.340,0.629,97,0.080,0.308,22.8%,17.8%,4.3%,0.24,1.0,22,6,L,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,PL
,<a href=https://npb.jp/bis/eng/players/41845132.html>Murabayashi Itsuki</a>,137,557,513,41,144,14,0,3,167,51,6,2,10,3,102,28,2,3,14,0.281,0.320,0.326,0.646,104,0.045,0.343,23.9%,18.3%,5.0%,0.27,0.0,27,5,R,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,PL
,<a href=https://npb.jp/bis/eng/players/21425159.html>Nakashima Daisuke</a>,124,491,462,51,123,11,5,6,162,31,22,4,8,2,75,17,0,2,4,0.266,0.294,0.351,0.645,102,0.085,0.305,20.0%,15.3%,3.5%,0.23,2.2,24,9,L,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,PL
,<a href=https://npb.jp/bis/eng/players/81685153.html>Hasegawa Shinya</a>,132,450,400,42,90,16,3,6,130,36,9,4,9,5,56,33,1,3,11,0.225,0.286,0.325,0.611,87,0.100,0.245,21.1%,12.4%,7.3%,0.59,0.0,23,9,R,🦁,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/53755150.html>Nevin Tyler</a>,137,570,509,51,141,24,0,21,228,63,2,1,0,5,78,45,6,11,13,0.277,0.346,0.448,0.794,142,0.171,0.289,25.3%,13.7%,7.9%,0.58,-0.3,28,3,R,🦁,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/51455136.html>Nishikawa Manaya</a>,124,553,507,64,134,26,3,10,196,38,25,7,2,3,80,32,1,9,4,0.264,0.318,0.387,0.705,115,0.123,0.295,22.1%,14.5%,5.8%,0.40,1.7,26,8,L,🦁,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/83385150.html>Watanabe Seiya</a>,109,452,425,42,110,16,3,12,168,43,2,3,0,2,85,21,2,4,11,0.259,0.299,0.395,0.694,111,0.136,0.297,26.1%,18.8%,4.6%,0.25,-0.9,22,7,R,🦁,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/41545136.html>Kiyomiya Kotaro</a>,138,577,525,63,143,25,1,12,206,65,8,1,0,5,85,46,0,1,9,0.272,0.329,0.392,0.721,114,0.120,0.303,24.8%,14.7%,8.0%,0.54,0.7,26,5,L,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/11815138.html>Mannami Chusei</a>,127,465,420,48,96,23,1,20,181,56,3,3,1,0,125,43,6,1,10,0.229,0.302,0.431,0.733,116,0.202,0.276,40.4%,26.9%,9.2%,0.34,-0.7,25,9,R,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/73075159.html>Reyes Franmil</a>,132,531,476,62,132,17,0,32,245,90,0,0,0,3,129,52,5,0,8,0.277,0.347,0.515,0.862,152,0.238,0.314,40.1%,24.3%,9.8%,0.40,-0.3,29,DH,R,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
