Rank,Pitcher,G,W,L,SV,HLD,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,Age,T,,Team,League
,<a href=https://npb.jp/bis/eng/players/03905157.html>Beasley Jeremy</a>,3,0,0,0,0,0,0,61,14.1,17,0,12,4,0,0,0,8,8,5.02,2.32,3.49,1.47,56,72,97,2.70,0.0%,19.7%,6.6%,13.1%,29,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Tigers.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6224"" />",<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/13715150.html>Duplantier Jon</a>,1,0,0,0,0,0,0,21,6.0,3,0,8,0,0,0,0,1,1,1.50,0.49,0.99,0.50,188,15,27,1.01,0.0%,38.1%,0.0%,38.1%,30,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Tigers.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6224"" />",<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/33735159.html>Guerra Javy</a>,4,0,1,0,1,0,0,20,3.0,7,0,3,4,0,0,0,6,6,18.00,5.16,5.30,3.67,16,161,147,12.84,0.0%,15.0%,20.0%,-5.0%,29,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Tigers.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6224"" />",<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/71375150.html>Ihara Takato</a>,6,0,0,0,1,0,0,28,8.1,2,0,6,2,1,0,0,0,0,0.00,2.44,3.37,0.48,999,76,93,-2.44,0.0%,21.4%,7.1%,14.3%,24,L,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Tigers.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6224"" />",<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/01105159.html>Ishiguro Yuya</a>,2,0,0,0,0,0,0,9,1.2,5,0,1,0,0,0,0,3,3,16.20,1.96,3.69,3.00,17,61,102,14.24,0.0%,11.1%,0.0%,11.1%,24,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Tigers.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6224"" />",<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/41145153.html>Ishii Daichi</a>,8,0,0,0,6,0,0,35,9.0,6,0,10,3,1,0,0,1,1,1.00,1.94,2.80,1.00,282,60,78,-0.94,0.0%,28.6%,8.6%,20.0%,27,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Tigers.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6224"" />",<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/71375153.html>Itoh Masashi</a>,1,0,0,0,0,0,0,2,0.2,0,0,0,0,0,0,0,0,0,0.00,3.16,4.80,0.00,999,98,133,-3.16,0.0%,0.0%,0.0%,0.0%,29,L,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Tigers.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6224"" />",<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/51355139.html>Iwasada Yuta</a>,2,0,0,0,0,0,0,6,1.1,1,0,0,1,0,0,0,0,0,0.00,5.41,6.47,1.50,999,168,179,-5.41,0.0%,0.0%,16.7%,-16.7%,33,L,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Tigers.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6224"" />",<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/31335139.html>Iwazaki Suguru</a>,8,0,0,6,1,0,0,29,7.0,7,1,4,1,0,0,0,4,3,3.86,4.30,3.77,1.14,73,134,104,-0.44,3.4%,13.8%,3.4%,10.3%,34,L,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Tigers.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6224"" />",<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/01705155.html>Kirishiki Takuma</a>,6,0,0,0,3,0,0,24,5.0,7,0,6,0,0,1,0,2,1,1.80,1.36,2.30,1.40,157,42,64,0.44,0.0%,25.0%,0.0%,25.0%,26,L,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Tigers.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6224"" />",<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/81785150.html>Kudo Taisei</a>,6,0,1,0,1,0,0,21,4.1,2,0,5,7,0,0,2,3,2,4.15,5.70,5.75,2.08,68,177,159,-1.55,0.0%,23.8%,33.3%,-9.5%,23,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Tigers.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6224"" />",<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/53355157.html>Mombetsu Keito</a>,3,1,1,0,0,0,0,50,12.0,13,0,8,4,0,0,0,2,2,1.50,2.83,4.00,1.42,188,88,111,-1.33,0.0%,16.0%,8.0%,8.0%,20,L,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Tigers.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6224"" />",<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/13315153.html>Murakami Shoki</a>,4,3,1,0,0,0,0,100,24.2,20,1,21,5,0,1,1,9,9,3.28,2.71,3.20,1.01,86,85,89,0.57,1.0%,21.0%,5.0%,16.0%,27,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Tigers.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6224"" />",<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/71275118.html>Nishi Yuki</a>,1,0,1,0,0,0,0,23,4.2,7,0,2,2,0,0,0,3,3,5.79,3.59,4.80,1.93,49,112,133,2.20,0.0%,8.7%,8.7%,0.0%,34,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Tigers.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6224"" />",<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/11515155.html>Okadome Hidetaka</a>,3,0,0,0,0,0,0,15,4.0,2,0,1,1,1,0,0,0,0,0.00,3.41,4.80,0.75,999,106,133,-3.41,0.0%,6.7%,6.7%,0.0%,25,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Tigers.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6224"" />",<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/91795151.html>Oyokawa Masaki</a>,8,2,0,0,3,0,0,28,8.0,2,0,10,1,0,0,0,1,0,0.00,1.03,1.59,0.38,999,32,44,-1.03,0.0%,35.7%,3.6%,32.1%,24,L,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Tigers.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6224"" />",<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/41745134.html>Saiki Hiroto</a>,3,1,2,0,0,0,0,83,20.2,14,1,18,7,0,0,0,5,5,2.18,3.06,3.47,1.02,129,95,96,-0.88,1.2%,21.7%,8.4%,13.3%,26,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Tigers.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6224"" />",<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/51055133.html>Shimamoto Hiroya</a>,1,0,0,0,0,0,0,3,1.0,0,0,1,0,0,0,0,0,0,0.00,1.16,1.47,0.00,999,36,41,-1.16,0.0%,33.3%,0.0%,33.3%,32,L,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Tigers.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6224"" />",<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/51255157.html>Tomida Ren</a>,2,1,0,0,0,0,0,33,9.0,8,0,4,0,0,0,0,2,2,2.00,2.27,3.59,0.89,141,71,99,-0.27,0.0%,12.1%,0.0%,12.1%,23,L,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Tigers.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6224"" />",<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/11315138.html>Urushihara Taisei</a>,3,0,0,0,0,0,0,10,3.1,0,0,4,0,0,0,0,0,0,0.00,0.76,0.80,0.00,999,24,22,-0.76,0.0%,40.0%,0.0%,40.0%,28,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Tigers.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6224"" />",<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/33735150.html>Dominguez Johan</a>,2,1,0,0,0,0,0,45,11.0,4,0,8,7,0,0,0,2,2,1.64,3.61,4.58,1.00,179,108,127,-1.97,0.0%,17.8%,15.6%,2.2%,29,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Carp.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6223"" />",<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/73975159.html>Hearn Taylor</a>,7,0,1,0,5,0,0,34,7.0,12,0,8,3,0,0,1,6,6,7.71,2.16,3.33,2.14,38,65,92,5.55,0.0%,23.5%,8.8%,14.7%,30,L,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Carp.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6223"" />",<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/21625130.html>Horie Atsuya</a>,7,0,1,1,2,0,0,29,5.1,8,0,10,4,1,1,0,3,3,5.06,2.22,2.73,2.25,58,66,76,2.84,0.0%,34.5%,13.8%,20.7%,28,L,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Carp.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6223"" />",<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/91995153.html>Kuribayashi Ryoji</a>,7,1,0,3,2,0,0,29,6.1,7,0,8,4,1,0,0,7,7,9.95,2.53,3.42,1.74,30,76,95,7.42,0.0%,27.6%,13.8%,13.8%,28,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Carp.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6223"" />",<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/93395155.html>Mori Shohei</a>,3,3,0,0,0,0,0,73,18.2,12,0,12,7,0,1,1,4,4,1.93,3.16,4.12,1.02,152,95,114,-1.23,0.0%,16.4%,9.6%,6.8%,27,L,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Carp.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6223"" />",<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/53155151.html>Morishita Masato</a>,4,3,1,0,0,1,0,113,30.0,16,2,22,6,0,1,0,9,6,1.80,3.26,3.38,0.73,163,98,94,-1.46,1.8%,19.5%,5.3%,14.2%,27,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Carp.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6223"" />",<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/73375153.html>Moriura Daisuke</a>,7,1,0,0,5,0,0,23,6.2,2,0,9,1,0,0,0,0,0,0.00,0.91,1.32,0.45,999,27,37,-0.91,0.0%,39.1%,4.3%,34.8%,27,L,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Carp.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6223"" />",<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/31235133.html>Nakazaki Shota</a>,4,0,0,0,0,0,0,10,3.1,1,0,4,0,0,0,0,0,0,0.00,0.76,0.80,0.30,999,23,22,-0.76,0.0%,40.0%,0.0%,40.0%,32,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Carp.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6223"" />",<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/61365139.html>Ohsera Daichi</a>,3,0,1,0,0,0,0,74,19.0,14,0,12,4,0,0,1,4,4,1.89,2.53,3.72,0.95,155,76,103,-0.64,0.0%,16.2%,5.4%,10.8%,34,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Carp.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6223"" />",<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/91595150.html>Okamoto Shun</a>,5,0,0,0,0,0,0,18,5.0,2,0,6,1,0,0,0,0,0,0.00,1.36,2.02,0.60,999,41,56,-1.36,0.0%,33.3%,5.6%,27.8%,23,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Carp.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6223"" />",<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/31935138.html>Shimauchi Sotaro</a>,7,0,0,0,4,0,0,24,6.0,2,0,6,3,0,0,0,2,0,0.00,2.66,3.55,0.83,999,80,98,-2.66,0.0%,25.0%,12.5%,12.5%,28,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Carp.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6223"" />",<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/61065151.html>Suzuki Kenya</a>,4,0,0,0,0,0,0,18,5.0,3,0,2,1,0,0,0,1,1,1.80,2.96,4.24,0.80,163,89,118,-1.16,0.0%,11.1%,5.6%,5.6%,27,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Carp.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6223"" />",<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/41245151.html>Tamamura Shogo</a>,2,0,1,0,0,0,0,45,12.0,10,0,10,1,0,0,0,3,3,2.25,1.74,2.80,0.92,131,52,78,0.51,0.0%,22.2%,2.2%,20.0%,24,L,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Carp.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6223"" />",<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/11415134.html>Tokoda Hiroki</a>,3,1,1,0,0,1,1,94,23.0,21,1,15,4,1,0,0,5,5,1.96,2.94,3.63,1.09,150,88,100,-0.98,1.1%,16.0%,4.3%,11.7%,30,L,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Carp.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6223"" />",<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/51155136.html>Azuma Katsuki</a>,3,2,0,0,0,0,0,87,22.1,16,1,17,2,0,0,0,6,2,0.81,2.49,3.08,0.81,366,74,85,-1.68,1.1%,19.5%,2.3%,17.2%,29,L,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/BayStars.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6228"" />",<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/33235157.html>Bauer Trevor</a>,2,0,2,0,0,0,0,48,11.0,13,2,12,3,0,0,1,6,6,4.91,4.16,2.92,1.45,60,123,81,0.75,4.2%,25.0%,6.2%,18.8%,34,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/BayStars.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6228"" />",<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/71675134.html>Hamachi Masumi</a>,3,0,0,0,0,0,0,12,3.0,2,2,5,1,0,0,0,2,2,6.00,9.49,1.47,1.00,49,281,41,-3.49,16.7%,41.7%,8.3%,33.3%,27,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/BayStars.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6228"" />",<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/71875134.html>Horioka Hayato</a>,4,0,0,0,0,0,0,24,4.2,6,0,8,4,1,0,0,3,2,3.86,2.30,3.13,2.14,77,68,87,1.56,0.0%,33.3%,16.7%,16.7%,26,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/BayStars.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6228"" />",<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/61365153.html>Irie Taisei</a>,5,0,0,1,1,0,0,21,5.0,1,0,6,4,1,1,0,1,1,1.80,3.76,3.85,1.00,165,111,107,-1.96,0.0%,28.6%,19.0%,9.5%,26,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/BayStars.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6228"" />",<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/41145151.html>Ise Hiromu</a>,6,0,0,1,4,0,0,21,5.0,5,0,5,1,0,0,0,2,2,3.60,1.76,2.90,1.20,82,52,80,1.84,0.0%,23.8%,4.8%,19.0%,27,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/BayStars.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6228"" />",<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/21125159.html>Ishida Yutaro</a>,3,0,1,0,1,0,0,35,8.0,11,0,11,1,0,0,0,7,7,7.88,0.78,1.94,1.50,38,23,54,7.10,0.0%,31.4%,2.9%,28.6%,23,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/BayStars.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6228"" />",<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/43745159.html>Jackson Andre</a>,3,1,1,0,0,0,0,76,19.0,15,0,20,4,1,1,2,3,3,1.42,1.84,2.69,1.00,209,55,75,-0.42,0.0%,26.3%,5.3%,21.1%,29,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/BayStars.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6228"" />",<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/13715159.html>Kay Anthony</a>,2,1,0,0,0,0,0,50,14.0,6,0,17,1,0,0,0,0,0,0.00,0.94,1.60,0.50,999,28,44,-0.94,0.0%,34.0%,2.0%,32.0%,30,L,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/BayStars.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6228"" />",<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/51855138.html>Miyagi Daita</a>,5,0,0,0,1,0,0,24,6.2,2,0,4,4,0,0,0,0,0,0.00,3.76,4.80,0.90,999,111,133,-3.76,0.0%,16.7%,16.7%,0.0%,24,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/BayStars.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6228"" />",<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/21425153.html>Nakagawa Hayate</a>,5,0,0,0,0,0,0,21,3.1,5,0,4,4,1,1,0,2,1,2.70,5.26,4.80,2.70,110,156,133,-2.56,0.0%,19.0%,19.0%,0.0%,26,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/BayStars.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6228"" />",<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/21225136.html>Nakagawa Koh</a>,1,0,0,0,0,0,0,4,1.0,1,0,0,0,0,0,0,0,0,0.00,3.16,4.80,1.00,999,94,133,-3.16,0.0%,0.0%,0.0%,0.0%,25,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/BayStars.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6228"" />",<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/01305138.html>Ohnuki Shinichi</a>,2,0,1,0,0,0,0,47,11.1,13,2,8,2,0,0,0,6,6,4.76,4.57,3.52,1.32,62,135,98,0.19,4.3%,17.0%,4.3%,12.8%,31,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/BayStars.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6228"" />",<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/11015151.html>Sakamoto Yuya</a>,4,1,0,0,0,0,0,15,3.1,3,1,3,2,1,0,0,2,2,5.40,7.06,4.13,1.50,55,209,114,-1.66,6.7%,20.0%,13.3%,6.7%,27,L,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/BayStars.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6228"" />",<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/71975134.html>Sasaki Chihaya</a>,4,0,0,0,0,0,0,19,4.0,7,0,2,1,0,0,0,2,2,4.50,2.91,4.27,2.00,66,86,118,1.59,0.0%,10.5%,5.3%,5.3%,31,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/BayStars.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6228"" />",<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/41045150.html>Shinogi Kentaro</a>,2,0,0,0,1,0,0,10,1.1,2,0,0,3,0,1,0,4,4,27.00,12.16,7.80,3.75,11,360,216,14.84,0.0%,0.0%,30.0%,-30.0%,23,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/BayStars.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6228"" />",<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/01905139.html>Taira Kentaro</a>,2,1,1,0,0,0,0,37,8.0,12,0,3,2,0,0,0,5,5,5.63,3.16,4.53,1.75,53,94,125,2.47,0.0%,8.1%,5.4%,2.7%,29,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/BayStars.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6228"" />",<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/03505159.html>Wick Rowan</a>,2,0,0,0,1,0,0,11,2.0,2,0,2,2,0,1,0,1,1,4.50,5.66,4.80,2.00,66,168,133,-1.16,0.0%,18.2%,18.2%,0.0%,32,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/BayStars.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6228"" />",<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/41845130.html>Yamasaki Yasuaki</a>,6,0,1,1,1,0,0,21,5.0,5,1,5,1,0,0,0,2,2,3.60,4.36,2.90,1.20,82,129,80,-0.76,4.8%,23.8%,4.8%,19.0%,32,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/BayStars.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6228"" />",<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/51155155.html>Akahoshi Yuji</a>,4,2,2,0,0,0,0,83,22.0,20,2,17,0,0,0,0,5,5,2.05,2.80,2.75,0.91,140,85,76,-0.75,2.4%,20.5%,0.0%,20.5%,25,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Giants.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6227"" />",<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,<a href=https://npb.jp/bis/eng/players/23225157.html>Baldonado Alberto</a>,2,0,0,0,1,0,0,8,1.1,2,0,0,2,0,0,0,1,1,6.75,7.66,7.30,3.00,43,234,202,-0.91,0.0%,0.0%,25.0%,-25.0%,32,L,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Giants.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6227"" />",<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
