Rank,Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,,Team,League
,Mannami Chusei,2,8,7,0,4,1,0,0,5,1,0,1,0,0,1,1,0,0,0,0.571,0.625,0.714,1.339,274,0.143,0.667,25.0%,12.5%,12.5%,1.00,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham Fighters</a>,PL
,Nakagawa Keita,2,7,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.000,0.000,0.000,0.000,-102,0.000,0.000,28.6%,28.6%,0.0%,0.00,🦬,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX Buffaloes</a>,PL
,Sakamoto Hayato,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,nan,1.000,nan,nan,nan,nan,,100.0%,0.0%,100.0%,1.00,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri Giants</a>,CL
,Ohta Ryo,2,8,8,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0.125,0.125,0.125,0.250,-27,0.000,0.200,37.5%,37.5%,0.0%,0.00,🦬,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX Buffaloes</a>,PL
,Kobayashi Seiji,1,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,765,1.000,1.000,0.0%,0.0%,0.0%,,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri Giants</a>,CL
,Yamamoto Yuudai,2,9,8,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0.125,0.111,0.125,0.236,-31,0.000,0.125,11.1%,11.1%,0.0%,0.00,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA BayStars</a>,CL
,Yamagata Shu,2,4,3,1,1,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0.333,0.333,0.333,0.667,90,0.000,1.000,50.0%,50.0%,0.0%,0.00,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham Fighters</a>,PL
,Okamoto Kazuma,2,9,7,1,2,0,0,0,2,0,0,0,0,0,1,2,1,0,0,0.286,0.444,0.286,0.730,121,0.000,0.333,33.3%,11.1%,22.2%,2.00,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri Giants</a>,CL
,Kishida Yukinori,2,9,7,2,1,0,0,0,1,0,0,0,0,0,1,2,0,0,1,0.143,0.333,0.143,0.476,46,0.000,0.167,33.3%,11.1%,22.2%,2.00,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri Giants</a>,CL
,Hirooka Taishi,2,7,7,1,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0.286,0.286,0.286,0.571,68,0.000,0.333,14.3%,14.3%,0.0%,0.00,🦬,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX Buffaloes</a>,PL
,Togo Shosei,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,497,0.000,1.000,0.0%,0.0%,0.0%,,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri Giants</a>,CL
,Sugimoto Yutaro,2,8,5,1,2,0,0,1,5,1,0,0,0,0,2,2,0,1,0,0.400,0.625,1.000,1.625,369,0.600,0.500,62.5%,25.0%,25.0%,1.00,🦬,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX Buffaloes</a>,PL
,Matsuo Shion,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-98,0.000,0.000,0.0%,0.0%,0.0%,,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA BayStars</a>,CL
,Matsumoto Go,2,4,4,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0.250,0.250,0.250,0.500,44,0.000,0.500,50.0%,50.0%,0.0%,0.00,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham Fighters</a>,PL
