Rank,Player,Age,Pos,Inn,TZR,TZR/143,RngR,ARM,DPR,ErrR,Pos Adj,Framing,Blocking,Team,League
,<a href=https://npb.jp/bis/eng/players/11715132.html>Kawase Hikaru</a>,27,5,26.0,2.8,138.6,2.0,,0.3,0.5,-0.1,,,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,<a href=https://npb.jp/bis/eng/players/11715132.html>Kawase Hikaru</a>,27,6,166.2,3.5,27.0,2.4,,0.2,0.9,1.4,,,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,<a href=https://npb.jp/bis/eng/players/21125134.html>Ishii Kazunari</a>,31,4,466.1,4.0,11.0,0.9,,0.8,2.3,1.3,,,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/21125134.html>Ishii Kazunari</a>,31,5,19.0,0.0,0.0,0.8,,-0.2,-0.5,-0.1,,,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/21125134.html>Ishii Kazunari</a>,31,DH,4.1,,,,,,,-0.1,,,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/71575136.html>Kamizato Kazuki</a>,31,7,7.2,-0.1,-16.7,-0.1,0.0,,0.0,-0.1,,,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/71575136.html>Kamizato Kazuki</a>,31,8,18.0,0.3,21.4,0.3,0.0,,0.0,0.1,,,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/71575136.html>Kamizato Kazuki</a>,31,9,28.0,-1.4,-64.4,-1.6,0.2,,0.0,-0.1,,,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/71575136.html>Kamizato Kazuki</a>,31,DH,1.0,,,,,,,0.0,,,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/51555151.html>Ebina Tatsuo</a>,27,7,58.0,1.1,24.4,1.0,0.0,,0.0,-0.6,,,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/51555151.html>Ebina Tatsuo</a>,27,8,318.2,-5.9,-23.8,-5.5,-0.5,,0.0,1.1,,,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/51555151.html>Ebina Tatsuo</a>,27,9,113.0,3.7,42.1,3.1,0.6,,0.1,-0.4,,,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/11315153.html>Isobata Ryota</a>,26,7,164.2,9.6,75.0,6.9,2.6,,0.1,-1.6,,,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/11315153.html>Isobata Ryota</a>,26,8,145.0,0.9,8.0,2.4,-1.5,,0.0,0.5,,,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/11315153.html>Isobata Ryota</a>,26,9,16.0,0.7,56.3,0.7,0.0,,0.0,-0.1,,,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/11315153.html>Isobata Ryota</a>,26,DH,21.1,,,,,,,-0.3,,,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/51755157.html>Kodama Ryosuke</a>,26,4,4.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/51755157.html>Kodama Ryosuke</a>,26,5,122.0,1.2,12.7,1.2,,-0.2,0.2,-0.5,,,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/51755157.html>Kodama Ryosuke</a>,26,6,14.0,0.2,18.4,0.3,,-0.1,0.1,0.1,,,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/11815138.html>Mannami Chusei</a>,25,7,7.2,-0.3,-50.1,-0.3,0.0,,0.0,-0.1,,,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/11815138.html>Mannami Chusei</a>,25,8,2.1,-0.6,-335.7,-0.6,0.0,,0.0,0.0,,,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/11815138.html>Mannami Chusei</a>,25,9,1169.2,19.0,20.9,10.6,8.7,,-0.3,-4.6,,,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/11815138.html>Mannami Chusei</a>,25,DH,9.0,,,,,,,-0.1,,,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/31335151.html>Inoue Kouta</a>,23,7,67.2,-1.4,-26.6,-1.4,-0.1,,0.1,-0.6,,,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/31335151.html>Inoue Kouta</a>,23,9,34.0,-0.4,-15.1,0.2,-0.7,,0.0,-0.1,,,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/21325153.html>Imagawa Yuma</a>,28,7,23.0,-0.3,-16.8,0.0,-0.3,,0.0,-0.2,,,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/21325153.html>Imagawa Yuma</a>,28,9,8.0,0.5,80.4,0.5,0.0,,0.0,0.0,,,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/21325153.html>Imagawa Yuma</a>,28,DH,9.0,,,,,,,-0.1,,,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/43145157.html>Morishita Shota</a>,24,9,1087.1,-2.9,-3.4,-4.1,0.8,,0.4,-4.3,,,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/01305130.html>Ueda Kai</a>,29,7,47.0,0.9,24.6,0.8,0.1,,0.0,-0.4,,,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/01305130.html>Ueda Kai</a>,29,8,4.0,-0.2,-64.4,-0.2,0.0,,0.0,0.0,,,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/01305130.html>Ueda Kai</a>,29,9,11.0,1.6,187.2,1.3,0.3,,0.0,0.0,,,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/53555153.html>Wakabayashi Gakuto</a>,27,7,2.0,0.1,64.4,0.0,0.1,,0.0,0.0,,,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/53555153.html>Wakabayashi Gakuto</a>,27,9,144.2,2.6,23.1,0.3,2.2,,0.1,-0.6,,,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/41945137.html>Tamura Tatsuhiro</a>,31,2,398.2,-0.9,-2.9,,-0.4,,-0.5,5.7,-3.0,1.0,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
,Nomura Yuki,25,3,51.0,0.2,5.0,0.1,,0.0,0.2,-0.6,,,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,Nomura Yuki,25,5,98.0,1.4,18.4,1.0,,-0.2,0.6,-0.4,,,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,Nomura Yuki,25,7,93.0,3.1,42.9,0.2,2.8,,0.1,-0.9,,,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,Nomura Yuki,25,DH,44.1,,,,,,,-0.5,,,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/03105157.html>Muramatsu Kaito</a>,24,4,19.0,0.3,20.3,0.2,,0.0,0.1,0.1,,,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,CL
,<a href=https://npb.jp/bis/eng/players/03105157.html>Muramatsu Kaito</a>,24,6,871.2,-3.9,-5.8,-5.8,,0.5,1.5,7.1,,,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,CL
,<a href=https://npb.jp/bis/eng/players/91495138.html>Hamada Taiki</a>,24,7,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
,<a href=https://npb.jp/bis/eng/players/91495138.html>Hamada Taiki</a>,24,9,60.0,-0.2,-4.3,-0.9,0.6,,0.0,-0.2,,,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
,<a href=https://npb.jp/bis/eng/players/01605132.html>Hiranuma Shota</a>,27,3,121.0,0.0,0.0,0.2,,0.1,-0.3,-1.3,,,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/01605132.html>Hiranuma Shota</a>,27,5,81.0,-2.6,-41.3,-2.5,,0.1,-0.3,-0.3,,,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/01605132.html>Hiranuma Shota</a>,27,7,66.0,1.6,31.2,1.4,0.1,,0.1,-0.6,,,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/01605132.html>Hiranuma Shota</a>,27,9,3.2,0.5,173.9,0.5,0.0,,0.0,0.0,,,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/01605132.html>Hiranuma Shota</a>,27,DH,26.0,,,,,,,-0.3,,,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/11215118.html>Nakashima Takuya</a>,34,3,11.0,0.2,23.4,0.1,,0.0,0.0,-0.1,,,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/11215118.html>Nakashima Takuya</a>,34,4,58.1,0.4,8.8,-0.1,,0.2,0.4,0.2,,,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/11215118.html>Nakashima Takuya</a>,34,5,5.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/11215118.html>Nakashima Takuya</a>,34,6,30.0,0.3,12.9,0.0,,0.1,0.2,0.2,,,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/11215118.html>Nakashima Takuya</a>,34,DH,12.0,,,,,,,-0.1,,,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/81585153.html>Ogata Riku</a>,26,3,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,<a href=https://npb.jp/bis/eng/players/81585153.html>Ogata Riku</a>,26,7,104.0,2.8,34.6,2.7,0.0,,0.1,-1.0,,,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,<a href=https://npb.jp/bis/eng/players/81585153.html>Ogata Riku</a>,26,8,52.1,-0.4,-9.8,-0.7,0.2,,0.0,0.2,,,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,<a href=https://npb.jp/bis/eng/players/81585153.html>Ogata Riku</a>,26,9,52.1,1.1,27.1,0.2,0.9,,0.0,-0.2,,,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,<a href=https://npb.jp/bis/eng/players/81585153.html>Ogata Riku</a>,26,DH,10.1,,,,,,,-0.1,,,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,<a href=https://npb.jp/bis/eng/players/21625132.html>Hirooka Taishi</a>,28,3,26.2,-0.3,-14.5,-0.3,,0.0,0.0,-0.3,,,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
,<a href=https://npb.jp/bis/eng/players/21625132.html>Hirooka Taishi</a>,28,4,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
,<a href=https://npb.jp/bis/eng/players/21625132.html>Hirooka Taishi</a>,28,5,43.1,-1.3,-38.6,-0.2,,-0.1,-1.0,-0.2,,,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
,<a href=https://npb.jp/bis/eng/players/21625132.html>Hirooka Taishi</a>,28,7,8.2,0.3,44.4,0.3,0.0,,0.0,-0.1,,,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
,<a href=https://npb.jp/bis/eng/players/21625132.html>Hirooka Taishi</a>,28,8,131.2,0.0,0.0,-0.1,0.0,,0.0,0.4,,,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
,<a href=https://npb.jp/bis/eng/players/21625132.html>Hirooka Taishi</a>,28,9,57.0,-0.7,-15.8,-0.4,-0.4,,0.0,-0.2,,,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
,<a href=https://npb.jp/bis/eng/players/21625132.html>Hirooka Taishi</a>,28,DH,6.0,,,,,,,-0.1,,,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
,<a href=https://npb.jp/bis/eng/players/33135132.html>Yamasaki Kotaro</a>,31,7,34.2,-1.5,-55.6,-1.0,-0.5,,0.0,-0.3,,,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
,<a href=https://npb.jp/bis/eng/players/33135132.html>Yamasaki Kotaro</a>,31,8,29.1,2.4,105.4,2.3,0.1,,0.0,0.1,,,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
,<a href=https://npb.jp/bis/eng/players/33135132.html>Yamasaki Kotaro</a>,31,9,29.0,0.9,39.9,1.2,-0.3,,0.0,-0.1,,,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
,<a href=https://npb.jp/bis/eng/players/51255155.html>Takizawa Natsuo</a>,21,4,97.2,-0.7,-9.2,0.7,,-0.5,-0.9,0.3,,,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/51255155.html>Takizawa Natsuo</a>,21,5,233.0,3.1,17.1,2.0,,0.1,0.9,-0.9,,,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/51255155.html>Takizawa Natsuo</a>,21,6,23.0,-0.1,-5.6,-0.3,,0.1,0.1,0.2,,,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/51255155.html>Takizawa Natsuo</a>,21,DH,2.0,,,,,,,0.0,,,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/31835138.html>Mizutani Shun</a>,24,7,576.0,4.8,10.7,4.3,0.9,,-0.4,-5.5,,,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/31835138.html>Mizutani Shun</a>,24,8,22.0,0.3,17.6,0.3,0.0,,0.0,0.1,,,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/31835138.html>Mizutani Shun</a>,24,9,21.0,1.0,61.3,0.5,0.5,,0.0,-0.1,,,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/31835138.html>Mizutani Shun</a>,24,DH,36.0,,,,,,,-0.4,,,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/71275132.html>Chatani Kenta</a>,27,3,132.0,-0.3,-2.9,1.0,,-0.1,-1.1,-1.5,,,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
,<a href=https://npb.jp/bis/eng/players/71275132.html>Chatani Kenta</a>,27,4,8.0,0.3,48.3,0.2,,0.0,0.0,0.0,,,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
,<a href=https://npb.jp/bis/eng/players/71275132.html>Chatani Kenta</a>,27,5,9.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
,<a href=https://npb.jp/bis/eng/players/71275132.html>Chatani Kenta</a>,27,6,111.0,0.5,5.8,-0.5,,0.5,0.5,0.9,,,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
,<a href=https://npb.jp/bis/eng/players/71275132.html>Chatani Kenta</a>,27,DH,1.0,,,,,,,0.0,,,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
,<a href=https://npb.jp/bis/eng/players/11015136.html>Sunagawa Richard</a>,26,3,40.1,0.6,19.2,0.5,,0.0,0.1,-0.4,,,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,<a href=https://npb.jp/bis/eng/players/11015136.html>Sunagawa Richard</a>,26,5,26.0,0.4,19.8,0.2,,0.0,0.2,-0.1,,,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,<a href=https://npb.jp/bis/eng/players/21325138.html>Ohmori Minoru</a>,28,7,38.2,3.9,129.7,2.7,1.1,,0.1,-0.4,,,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/21325138.html>Ohmori Minoru</a>,28,8,27.0,0.3,14.3,0.4,-0.1,,0.0,0.1,,,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/21325138.html>Ohmori Minoru</a>,28,9,60.0,2.6,55.8,1.6,0.9,,0.0,-0.2,,,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/73175151.html>Yanagimachi Tatsuru</a>,28,7,265.1,-0.2,-1.0,0.9,-1.3,,0.2,-2.5,,,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,<a href=https://npb.jp/bis/eng/players/73175151.html>Yanagimachi Tatsuru</a>,28,8,33.0,-1.3,-50.7,-1.0,-0.2,,0.0,0.1,,,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,<a href=https://npb.jp/bis/eng/players/73175151.html>Yanagimachi Tatsuru</a>,28,9,170.0,2.3,17.4,1.1,1.0,,0.1,-0.7,,,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,<a href=https://npb.jp/bis/eng/players/73175151.html>Yanagimachi Tatsuru</a>,28,DH,2.0,,,,,,,0.0,,,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,<a href=https://npb.jp/bis/eng/players/51255138.html>Nakagawa Keita</a>,29,3,10.0,-0.3,-38.6,-0.3,,0.0,0.0,-0.1,,,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
,<a href=https://npb.jp/bis/eng/players/51255138.html>Nakagawa Keita</a>,29,8,260.1,-3.8,-18.8,-2.3,-1.6,,0.0,0.9,,,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
,<a href=https://npb.jp/bis/eng/players/51255138.html>Nakagawa Keita</a>,29,9,165.1,2.9,22.6,2.8,0.0,,0.1,-0.7,,,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
,<a href=https://npb.jp/bis/eng/players/51255138.html>Nakagawa Keita</a>,29,DH,30.0,,,,,,,-0.4,,,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
,<a href=https://npb.jp/bis/eng/players/41445153.html>Nakano Takumu</a>,29,4,1279.2,-0.4,-0.4,-0.8,,-1.1,1.6,3.4,,,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/91095151.html>Satoh Naoki</a>,26,8,126.0,1.8,18.4,0.1,1.7,,0.0,0.4,,,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,<a href=https://npb.jp/bis/eng/players/91095151.html>Satoh Naoki</a>,26,9,94.0,-2.2,-30.1,-1.0,-0.4,,-0.8,-0.4,,,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,<a href=https://npb.jp/bis/eng/players/91095151.html>Satoh Naoki</a>,26,DH,1.0,,,,,,,0.0,,,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,<a href=https://npb.jp/bis/eng/players/21525132.html>Kakinuma Tomoya</a>,32,2,4.0,0.0,0.0,,0.0,,0.0,0.1,-0.2,0.0,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
,<a href=https://npb.jp/bis/eng/players/61965132.html>Sugimoto Yutaro</a>,34,7,44.2,-1.3,-37.4,-1.5,0.2,,0.0,-0.4,,,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
,<a href=https://npb.jp/bis/eng/players/61965132.html>Sugimoto Yutaro</a>,34,9,344.0,0.4,1.5,1.2,-0.8,,0.1,-1.4,,,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
,<a href=https://npb.jp/bis/eng/players/61965132.html>Sugimoto Yutaro</a>,34,DH,110.1,,,,,,,-1.3,,,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
,<a href=https://npb.jp/bis/eng/players/31535130.html>Oda Yuya</a>,35,7,18.0,0.3,21.4,0.3,0.0,,0.0,-0.2,,,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
,<a href=https://npb.jp/bis/eng/players/31535130.html>Oda Yuya</a>,35,8,20.0,1.1,70.8,0.7,0.5,,0.0,0.1,,,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
,<a href=https://npb.jp/bis/eng/players/31535130.html>Oda Yuya</a>,35,9,10.2,0.6,72.2,0.5,0.1,,0.0,0.0,,,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
,<a href=https://npb.jp/bis/eng/players/51555155.html>Kajiwara Kouki</a>,25,7,46.0,-4.0,-111.9,-3.7,-0.4,,0.0,-0.4,,,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/51555155.html>Kajiwara Kouki</a>,25,8,134.0,1.2,11.5,0.8,0.4,,0.0,0.4,,,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/51555155.html>Kajiwara Kouki</a>,25,9,495.1,-3.2,-8.3,-3.8,0.4,,0.2,-2.0,,,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/51555159.html>Okumura Koichi</a>,25,7,125.0,-1.1,-11.3,-0.9,-0.3,,0.1,-1.2,,,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/51555159.html>Okumura Koichi</a>,25,8,26.0,1.3,64.4,1.4,0.0,,0.0,0.1,,,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/51555159.html>Okumura Koichi</a>,25,9,30.0,0.0,0.0,0.1,-0.2,,0.0,-0.1,,,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/51555159.html>Okumura Koichi</a>,25,DH,5.1,,,,,,,-0.1,,,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/01105135.html>Ishikawa Shingo</a>,32,7,73.0,-2.5,-44.1,-1.0,0.1,,-1.6,-0.7,,,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
,<a href=https://npb.jp/bis/eng/players/01105135.html>Ishikawa Shingo</a>,32,DH,95.1,,,,,,,-1.1,,,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
,<a href=https://npb.jp/bis/eng/players/91995130.html>Sano Kodai</a>,28,8,7.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
,<a href=https://npb.jp/bis/eng/players/91995130.html>Sano Kodai</a>,28,9,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
,<a href=https://npb.jp/bis/eng/players/71075151.html>Satoh Toshiya</a>,27,2,856.2,-3.0,-4.5,,-3.0,,0.1,12.3,-5.3,-0.7,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
,<a href=https://npb.jp/bis/eng/players/71075151.html>Satoh Toshiya</a>,27,3,118.0,-0.3,-3.3,-0.5,,-0.1,0.3,-1.3,,,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
,<a href=https://npb.jp/bis/eng/players/81985118.html>Tateoka Soichiro</a>,35,7,119.0,-2.0,-21.6,-2.1,0.0,,0.1,-1.1,,,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,<a href=https://npb.jp/bis/eng/players/81985118.html>Tateoka Soichiro</a>,35,8,48.2,1.4,37.0,1.6,-0.2,,0.0,0.2,,,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,<a href=https://npb.jp/bis/eng/players/81985118.html>Tateoka Soichiro</a>,35,9,31.0,0.1,4.2,0.1,0.0,,0.0,-0.1,,,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,<a href=https://npb.jp/bis/eng/players/21825138.html>Yamanobe Kakeru</a>,31,4,63.0,-0.5,-10.2,0.0,,0.0,-0.4,0.2,,,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/21825138.html>Yamanobe Kakeru</a>,31,5,39.0,-0.6,-19.8,-0.8,,0.0,0.2,-0.1,,,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
